Index,Repository Name,Project Type,Automation Files,Stars,Forks,Project Size (KB),Commits (30 days),Open PRs (30 days),Closed PRs (30 days),Open Issues (30 days),Closed Issues (30 days),Rejection Rate (%),Avg. Merge Time (hours),Avg. Resolution Time (hours),Automation Group,Bot PR Closure Rate (%),Bot Issue Closure Rate (%),Bot Activity Score
144,open-telemetry/opentelemetry-php-contrib,Open Source,2,75,91,1710,4,7,93,0,0,12.0,233.7148353909465,300.5398416965353,Moderate Automation,40,0,29.9
145,ray-project/ray,Open Source,2,35055,5965,496722,30,56,44,16,4,6.0,27.3930701754386,21.07998538011696,Moderate Automation,40,50,16.4
146,spinnaker/spinnaker,Open Source,2,9396,1209,5348,0,0,100,25,74,10.0,424.2103364197531,2259.917111111111,Moderate Automation,40,50,54.199999999999996
147,pytest-dev/pytest-xdist,Open Source,2,1524,232,1935,12,7,93,23,12,6.0,89.55669540229886,112.85717857142858,Moderate Automation,40,50,33.5
148,apache/hadoop,Open Source,2,14911,8929,589666,30,52,48,0,0,14.000000000000002,164.244272875817,139.38059027777777,Moderate Automation,40,0,16.4
149,pytest-dev/pytest-mock,Open Source,2,1885,147,633,5,0,100,0,14,5.0,14.753125730994151,33.13127222222222,Moderate Automation,40,50,36.199999999999996
150,pytest-dev/pytest-django,Mixed,2,1412,346,1682,0,11,89,24,15,17.0,479.30711033950615,370.2945128824476,Moderate Automation,40,50,33.2
151,open-telemetry/opentelemetry-proto,Open Source,1,629,268,736,2,7,93,15,12,21.0,456.5619328703704,673.2694836182336,Moderate Automation,40,50,32.5
152,open-telemetry/opentelemetry-rust-contrib,Open Source,1,44,45,5219,10,7,93,13,14,6.0,101.77835249042144,163.31551041666668,Moderate Automation,40,50,33.1
153,observatorium/observatorium,Open Source,1,217,76,4506,0,2,98,8,4,17.0,175.07975308641974,535.8931288156289,Moderate Automation,40,50,31.599999999999998
154,influxdata/influxdb,Open Source,1,29390,3577,198500,30,10,90,29,20,5.0,13.91451633986928,31.976623931623934,Moderate Automation,40,50,34.0
155,open-mmlab/mmsegmentation,Open Source,1,8504,2647,45272,0,32,68,80,10,26.0,116.26837301587302,398.5627314814815,Moderate Automation,40,50,24.4
156,open-mmlab/mmdetection,Open Source,1,30111,9522,64771,0,53,47,79,8,26.0,202.16387566137567,57.03982142857144,Moderate Automation,40,50,17.5
157,drone/drone,Open Source,1,32392,2819,50053,30,1,99,30,37,41.0,227.9553879310345,559.2136876006441,Moderate Automation,40,50,41.8
158,serverless/serverless,Open Source,1,46570,5728,100227,5,12,88,26,44,12.0,101.53913377192984,96.0408492063492,Moderate Automation,40,50,40.6
